cos,usr_click_nums,same_cos_nums,±»÷µ,,,,,,,,,,,,,
0,1088789,1028840,1.058268535,,,,,,,,,,,,,
0.013316,1,1,1,,,,,,,,,,,,,
0.013327,1,1,1,,,,,,,,,,,,,
0.01349,3,1,3,,,,,,,,,,,,,
0.013521,1,1,1,,,,,,,,,,,,,
0.013546,2,1,2,,,,,,,,,,,,,
0.013799,1,1,1,,,,,,,,,,,,,
0.013928,1,1,1,,,,,,,,,,,,,
0.013941,1,1,1,,,,,,,,,,,,,
0.013955,0,1,0,,,,,,,,,,,,,
0.01403,2,1,2,,,,,,,,,,,,,
0.014072,1,1,1,,,,,,,,,,,,,
0.014086,0,1,0,,,,,,,,,,,,,
0.014149,1,1,1,,,,,,,,,,,,,
0.014163,1,1,1,,,,,,,,,,,,,
0.014178,1,1,1,,,,,,,,,,,,,
0.014192,0,1,0,,,,,,,,,,,,,
0.014199,0,1,0,,,,,,,,,,,,,
0.01433,1,1,1,,,,,,,,,,,,,
0.01435,0,1,0,,,,,,,,,,,,,
0.014359,1,2,0.5,,,,,,,,,,,,,
0.014434,1,1,1,,,,,,,,,,,,,
0.014441,1,1,1,,,,,,,,,,,,,
0.014464,0,3,0,,,,,,,,,,,,,
0.014471,1,1,1,,,,,,,,,,,,,
0.014479,2,2,1,,,,,,,,,,,,,
0.014494,0,1,0,,,,,,,,,,,,,
0.014502,1,1,1,,,,,,,,,,,,,
0.01451,2,2,1,,,,,,,,,,,,,
0.014517,0,1,0,,,,,,,,,,,,,
0.014649,1,1,1,,,,,,,,,,,,,
0.014681,0,1,0,,,,,,,,,,,,,
0.01472,2,2,1,,,,,,,,,,,,,
0.014744,1,1,1,,,,,,,,,,,,,
0.014752,1,1,1,,,,,,,,,,,,,
0.014768,2,2,1,,,,,,,,,,,,,
0.014776,1,2,0.5,,,,,,,,,,,,,
0.014784,7,7,1,,,,,,,,,,,,,
0.014793,1,2,0.5,,,,,,,,,,,,,
0.014801,5,5,1,,,,,,,,,,,,,
0.014809,1,1,1,,,,,,,,,,,,,
0.014825,0,1,0,,,,,,,,,,,,,
0.014833,1,1,1,,,,,,,,,,,,,
0.014841,1,1,1,,,,,,,,,,,,,
0.014849,1,2,0.5,,,,,,,,,,,,,
0.014858,1,1,1,,,,,,,,,,,,,
0.014861,1,1,1,,,,,,,,,,,,,
