cos,usr_click_nums,same_cos_nums,±»÷µ
0,98737,1028840,0.095969247
0.125,2473,18707,0.132196504
0.0625,1509,7949,0.189835199
1,0,3,0
0.027196,19,107,0.177570093
0.057735,2815,18257,0.154187435
0.014768,0,2,0
0.114286,2,5,0.4
0.031879,48,251,0.19123506
0.02065,12,49,0.244897959
0.072607,0,2,0
0.016254,0,1,0
0.022911,47,187,0.251336898
0.5,157,2200,0.071363636
0.051164,3,20,0.15
0.116775,111,386,0.287564767
0.271163,1,2,0.5
0.149256,7,21,0.333333333
0.043561,2,5,0.4
0.1557,2805,18148,0.154562486
0.031408,0,2,0
0.048507,1208,8403,0.143758182
0.027037,13,60,0.216666667
0.026389,23,104,0.221153846
0.052889,153,518,0.295366795
0.164677,13,47,0.276595745
0.052058,9,32,0.28125
0.216506,16,106,0.150943396
0.054233,2508,16921,0.14821819
0.018137,9,35,0.257142857
0.081379,96,422,0.227488152
0.133038,0,1,0
0.021744,13,63,0.206349206
0.030303,0,1,0
0.038808,260,1247,0.208500401
0.159719,0,1,0
0.102598,5714,46894,0.121849277
0.3114,22,146,0.150684932
0.023415,7,41,0.170731707
0.02268,3,17,0.176470588
0.015587,1,1,1
0.023218,25,107,0.23364486
0.033005,0,1,0
0.060166,344,1222,0.281505728
0.054074,8,29,0.275862069
0.043234,718,4841,0.148316464
0.01511,0,1,0
0.016991,0,1,0
0.104116,0,2,0
0.014809,0,1,0
0.083077,0,1,0
0.030686,1,2,0.5
0.214423,1,3,0.333333333
0.057143,324,1078,0.300556586
0.136931,223,1013,0.220138203
0.055641,9,35,0.257142857
0.038691,310,1302,0.238095238
0.022361,23,90,0.255555556
0.029553,171,769,0.22236671
0.116199,1,6,0.166666667
0.043602,0,5,0
0.319438,1,3,0.333333333
0.09105,0,1,0
0.021642,20,68,0.294117647
0.017474,1,6,0.166666667
0.307148,0,2,0
0.021248,13,57,0.228070175
0.059062,0,1,0
0.25,1058,12340,0.085737439
0.0177,0,2,0
0.081111,1744,11324,0.154009184
0.058124,1071,5412,0.19789357
0.031174,0,2,0
0.074074,1,1,1
0.063246,1732,11167,0.155099848
0.046436,56,210,0.266666667
0.016214,0,2,0
0.015394,1,2,0.5
0.018949,1,11,0.090909091
0.070321,5,24,0.208333333
0.017421,1,3,0.333333333
0.091457,3,4,0.75
0.512989,1,13,0.076923077
0.070418,6,25,0.24
0.068555,25,52,0.480769231
0.094398,41,150,0.273333333
0.03022,161,736,0.21875
0.091799,1,2,0.5
0.055999,0,2,0
0.016129,1,3,0.333333333
0.020498,10,42,0.238095238
0.019407,2,24,0.083333333
0.060302,2261,16808,0.134519277
0.064957,30,108,0.277777778
0.212298,47,189,0.248677249
0.047891,483,2643,0.182746879
0.019448,0,14,0
0.140546,10,24,0.416666667
0.22188,11,82,0.134146341
0.021668,14,64,0.21875
0.5547,1,5,0.2
0.029235,126,639,0.197183099
0.039873,0,3,0
0.036539,1,1,1
0.025254,9,42,0.214285714
0.018161,1,3,0.333333333
0.045883,993,5866,0.1692806
0.047511,4,16,0.25
0.077771,0,2,0
0.07036,34,167,0.203592814
0.042885,25,102,0.245098039
0.054012,0,1,0
0.104132,96,367,0.261580381
0.088999,1385,6396,0.216541588
0.077382,89,345,0.257971014
