cos	nums
0.0	1088789
0.125	19369
0.0625	7945
1.0	3
0.027196	109
0.057735	19000
0.014768	2
0.114286	3
0.031879	239
0.02065	50
0.072607	2
0.016254	1
0.022911	177
0.5	2370
0.051164	19
0.116775	378
0.271163	1
0.149256	15
0.043561	4
0.1557	18566
0.031408	2
0.048507	8760
0.027037	54
0.026389	93
0.052889	473
0.164677	37
0.052058	37
0.216506	106
0.054233	17678
0.018137	30
0.081379	396
0.133038	1
0.021744	66
0.030303	1
0.038808	1249
0.159719	2
0.102598	49629
0.3114	149
0.023415	43
0.02268	16
0.015587	0
0.023218	87
0.033005	4
0.060166	1057
0.054074	28
0.043234	5084
0.01511	1
0.016991	1
0.104116	1
0.014809	1
0.083077	1
0.030686	1
0.214423	2
0.057143	944
0.136931	972
0.055641	29
0.038691	1259
0.022361	70
0.029553	752
0.116199	10
0.043602	5
0.319438	2
0.09105	1
0.021642	55
0.017474	5
0.307148	2
0.021248	50
0.059062	2
0.25	13312
0.0177	2
0.081111	11582
0.058124	5299
0.031174	2
0.074074	0
0.063246	11508
0.046436	182
0.016214	2
0.015394	1
0.018949	12
0.070321	38
0.017421	3
0.091457	1
0.512989	14
0.070418	21
0.068555	31
0.094398	146
0.03022	703
0.091799	1
0.055999	2
0.016129	2
0.020498	34
0.019407	26
0.060302	17657
0.064957	108
0.212298	174
0.047891	2751
0.019448	16
0.140546	17
0.22188	88
0.021668	58
0.5547	5
0.029235	636
0.039873	4
0.036539	0
0.025254	39
0.018161	2
0.045883	6056
0.047511	15
0.077771	2
0.07036	173
0.042885	92
0.054012	1
0.104132	350
0.088999	6258
0.077382	318
0.228218	1
0.016915	2
0.045038	2
0.018349	6
0.068701	1
0.061546	4739
0.019861	15
0.036886	1764
0.015891	1
0.026774	382
0.037062	809
0.035737	3
0.120386	1243
0.051793	2
0.046176	3
0.023408	136
0.0153	1
0.1159	501
0.032342	349
0.14462	15
0.046209	0
0.045787	10
0.310087	6
0.029311	189
0.033634	494
0.109109	13897
0.103695	1068
0.209529	2249
0.088658	59
0.031798	1
0.016952	1
0.034684	6
0.098623	1
0.015084	2
0.040291	1168
0.062217	5
0.024084	38
0.127451	2
0.062177	1
0.085749	9925
0.044151	29
0.117698	18
0.027735	585
0.089667	9
0.029931	1
0.017387	1
0.019627	2
0.01866	6
0.023313	119
0.091928	85
0.025924	56
0.112464	3
0.173422	0
0.0519	469
0.162623	55
0.021592	54
0.030124	3
0.015179	7
0.046078	44
0.088889	0
0.06785	7
0.117489	13
0.108266	2
0.135147	1
0.326599	212
0.06044	1043
0.030203	0
0.021082	39
0.019021	0
0.045268	2125
0.048912	22
0.069468	14
0.062486	7
