user_id	items
9	944146
69	2251345,606906,332955,606906,822812,1309786,1258082,1258082,1757867
131	2659822
136	2256663
178	2527698,709614,760759,1077660,372481,1217865,75209,1553566,2569810
185	262614
239	109924,1920107,816726,1040895
242	2409634
258	234280,2687682
285	738496,2146366,567107,798062,567107,2113211,1091379,456407
302	122748
343	1967183,878959
350	311713,175200
404	614418
514	2633723
527	2778525
548	1165605
587	1354558
667	1685484
669	2825903
689	2669856
693	887843
719	60781,60781,2131701,1531301
774	2268722
858	353958
884	697590
893	1129891,657183
902	1386228,2142251,2582611,1441757
912	2796479
927	2304657
948	195899
1025	1583705
1064	16115,1810941,1754387,328376,978825,1340071
1078	2035957
1088	49980
1104	84893
1112	1652465
1122	1047625
1138	2042085
1144	1872301
1183	2581939
1196	934551,1157014,1634805,574981,934551
1233	2595626
1252	2030105
1272	653241
1275	1244196,1069281,468120,1583705,1175550
1286	2024605
1339	1908277
1372	2115196,2720654,1525484
1459	533633,492472,533633,533633
1473	890181
1475	2485657,2416566
1493	2621668
1509	882543
1521	175149,2164743,1646173,2233380
1570	1158539
1599	959952
1621	649606
1648	2778525
1686	2683789,2125862,671949
1703	712901
1776	1027893,153041
1786	920226
1797	1001139,1001139,243557
1804	811929,1274752,1287265,1642638,2498173
1824	2129235,1404394,2553180
1841	914866
1858	2624844,1410154,60419,2533257,2617720,2448397,1177669,1384520,2301668,500989,1652701,1299942,929818,58622,1759770,1704872,1618855,489639,1286850
1861	1087072,2470649,1087072,1053542,1897910,1083860,1119926,1805739,1805739,1814585,36866,1712771,2213077
1869	987547,1223832
1907	694923,2483361,2719789
1982	2775144
1987	883650
1989	1065311
2009	1352246
2113	1577307
2124	182576
2126	2472375,840047
2127	2136755,2619187
2173	1078303
2181	972388
2243	2095776,1982851,1569008,2095776,1982851,1569008,767138,2196316,767138,767138,1240881,767138,1181377,221456,1686772
2244	1519543,416944,2088207,1672401,843673,444228
2311	487904
2330	770730,770730,1848264,2829909,2829909,2045137,2707301,1402854
2334	1271184
2374	532258,2686958
2400	2512359
2442	1415355
2489	830073
2539	1644793
2553	2140236
2614	1064105,1064105,1019376,742495,742495
2630	1569306
2651	1290607
2662	907427
2679	103508
2691	732576
2709	2182289
2719	2819848
2791	945681
2813	2438696
2820	43511,2430137
2822	1081157
2825	977977
2836	968902
2857	2213987
2870	1830993
2914	711156
2932	1029364
2933	2144463
2947	265522
2983	1748521,1587828
2997	2110417
3011	209768,209768,2649044
3030	1239082
3032	23791
3033	772865
3053	2778891
3078	1156031
3082	2321437
3101	1981600
3125	1443706
3130	489765
3134	2502325
3161	339920,2215599
3184	1526269,2724322,1471111,2021273
3195	2309062
3215	1309773
3251	692914
3256	968314
3258	470426
3265	1635556
3283	2318786
3291	2285597,753238,267654,1826943
3319	1952387
3375	1053542
3379	2392154
3409	2412887
3476	517579
3507	2599965
3527	985561,2107106,2107106,1151193,2642254,985561,985561
3557	728356
3596	791554
3612	557492,557492
3630	2795800,2795800
3633	1594714
3649	2710963
3683	1765021
3700	1717241,2442311,982816,2261290,1645771,361785,1227069
3705	1687361
3725	2283633
3755	1054782
3806	1664169,1320005,353261,2538248,226021,1976791,1164169,947818,947818,2520572,2520572,1405882,1405882,784589,2193590,188121,2593485,2598488
3889	2647716
3899	1875442
3927	77120,2267695
3956	830073,226002
3957	68242,387201
3986	570668,570668
3990	1301382
4005	2640582
4071	1525122
4080	1145032
4101	2438202
4122	955684,235042,226930,2454181,2515140
4135	1926455
4157	1820860
4193	327624
4207	2340784
4262	1127105,1127105,1377408
4294	313528
