user_id	items
9	944146
69	2274004,1861809,660656,2811806,1905239,27393,740883,2192211,740883
131	164199
136	2248611
178	2403722,1553566,794156,1595872,2312119,1724400,1003566,709614,1755669
185	262614
239	2284024,1963318,2044958,1345329
242	2409634
258	1492887,2279003
285	1464977,2239960,976214,1682463,2239960,436140,1655558,2115332
302	122748
343	759592,1696867
350	88562,419011
404	614418
527	2778525
548	1165605
587	1354558
667	1685484
669	2825903
689	2669856
693	887843
719	889080,279214,60781,5291
774	149893
858	2118214
884	150229
893	2438173,2438173
902	2096820,1441757,2582611,1018651
912	2796479
927	1526854
948	2107975
1025	1583705
1064	2630220,399386,531544,662697,2586418,117216
1078	2035957
1088	489488
1104	1341482
1112	769700
1122	1047625
1138	2042085
1144	1835607
1183	1767060
1196	1045244,512875,2549892,849954,2623492
1233	2261830
1252	79531
1272	653241
1275	235115,1535342,235115,1129990,2800525
1286	2024605
1339	1908277
1372	926913,2183396,318609
1459	533633,186553,492472,1359154
1473	2762214
1475	2574292,1384422
1509	322938
1521	2454830,24689,1741198,1336725
1570	2651350
1599	1774180
1621	1256543
1648	2778525
1686	2116876,2724205,883610
1703	317172
1776	2469405,2082726
1786	745687
1797	917470,1402718,1545375
1804	1386412
1824	913698,510369,2001488
1841	1773400
1858	236938,60419,963128,96350,1649877,1863996,533784,722198,2251881,1606288,2439562,1529965,327068,317581,1410154,488026,757655,495969,1684747
1861	1743481,2632598,39492,192493,1712771,1487959,1241921,1793549,2213077,1451976,1472853,192493,555540
1869	1223832,178064
1982	2775144
1987	883650
1989	1353323
2009	1352246
2113	1577307
2124	2579514
2126	2396168,2812988
2127	2381258,189904
2173	117018
2181	966843
2243	1014927,1600696,954333,767138,1214254,2095776,893446,2586734,1992774,1121966,1600696,1740299,1756999,2074092,1020875
2244	1703711,1672401,270441,2166203,1703711,731783
2311	713552
2330	686032,1748479,2561854,1404768,1848264,2483664,883878,1738926
2334	2249226
2374	1556019,623140
2400	2512359
2442	1594281
2489	830073
2539	1644793
2553	1019646
2614	2410821,1386935,2441111,445657,883385
2630	1569306
2651	1290607
2662	907427
2679	103508
2691	732576
2709	1233470
2719	2212502
2791	1140869
2813	2410885
2820	1201782,1940267
2822	1081157
2825	1319002
2836	968902
2857	2213987
2870	1830993
2914	332304
2932	328157
2933	2144463
2947	265522
2983	2289895,2586100
2997	2712242
3011	1556516,1101041,2292556
3030	1239082
3032	762393
3033	772865
3053	683858
3078	1823827
3082	2321437
3101	2251394
3125	1443706
3130	489765
3134	790736
3161	2183339,1097206
3184	2581009,683858,282998,91661
3195	2309062
3215	1770067
3251	2077584
3256	885666
3258	470426
3265	1817735
3283	170673
3291	2325850,1204367,982316,267654
3319	2842783
3375	1098848
3379	2392154
3409	2412887
3476	493483
3507	1951470
3527	2559416,2512414,2051112,2474201,1242176,2051112,2823189
3557	728356
3596	791554
3612	1816175,557492
3630	2795800,2321584
3633	1987256
3649	1428770
3683	1765021
3700	28372,219030,1530417,2174446,177554,2545546,2804159
3705	830027
3725	2585636
3755	1465377
3806	2520572,2383411,258350,1126522,143874,658914,546059,1164169,228895,1595579,566930,1059264,2028407,2827645,774316,2383411,457174,723498
3889	2647716
3899	1875442
3927	1691029,2540058
3956	630760,830073
3957	751760,2443851
3986	1538515,2077015
3990	1301382
4005	2640582
4071	458894
4080	1145032
4101	1919559
4122	653802,2237991,2663302,1427857,1512443
4135	92760
4157	1820860
4193	1320526
4207	1231235
4262	2192524,1028961,1589038
4294	313528
4297	749846,812983,2106922
4337	2656394,595255
4375	2452527
4403	1171271,1514804,2151967
4424	558807
4495	597502
4514	2724635,2202106,538122,2475636,527578,1297338,2667948,388220,2509156,1297338,1720311
4521	1995284
4582	1583705
4588	2419624
4603	1522805
4607	402866
4697	1218402
4844	1791015
4856	1926928,2453936,1358782,150698,31487,721608,37483,1236631,2358760,1947970,1264906,655649,1023528,1018494,1742626,1725359,2643816,1057559,1544058,1506733,1891955,1947970,1974326,1754922,1475484,689083,1851532,398303
4908	2655733
5039	690034
5045	763393,1059760,1294559
5073	1681445
5147	2673082
5212	1451436
5223	1943429
5249	1484502
5254	1736276,1396252,802588,2294663,1480912
5282	2320795
5298	1653439
5317	931519
5362	599863
5418	2106846,1198190,1171893
5476	584405,452729
5553	1363539,783413,934633,897041
5564	807611
5575	920029
5584	682209
5627	2447392
5649	2285625,2285625,2285625,2285625,2285625
5656	2712481
5686	902522
5690	990964
5714	289559
5731	1551883
5738	100152
5759	2334603,2774545,2223818
5775	124951
5834	278589
5839	261490
5855	2713095
5887	542706,1571629,821048,1023009
5910	2547546
5938	1759182,2588158,2446336,938520
5951	29814
6126	1213969
6204	1109576
6237	1606622,27293,1422637
6253	218796
6293	1339147
6296	1475054
6304	459258
6393	776741
6399	1651463,875415,2215964,2409634,1233946,2409634,1384404,2158752
6400	1594438
6435	890060
6436	272252
6442	1904531,1896667,795410,2489795,887568,1355049,2373200,2469866,2073439,311182,557669,1728212,1024146,757410,485525,2547136,2258499
6454	2401590
6507	169022
6521	2048566
6522	920520,1940215
6534	476222
6540	2840526
6542	237847
6565	1121173
6601	2269303
6715	223810,2572430,563188,2179402,1274154,2836684,377955,962153,2780560,232856,962153,1778800,933530,1650240,325211,2145775,235583,122199,1307932,933530,1314827,2235057,2234516
6732	1320385
6826	243397
6872	2645688,2737760,35733,2105684
6893	141754
6994	2638212
6997	1857124
7061	2392162
7065	1381449
7100	529259
7101	466673
7105	325132
7114	1754849
7154	2375294
7182	75272,778187,851948
7234	1350803
7261	2512875,2389391,173776
7364	1115810,1406028
7437	2602352
7449	160236,348599
7469	130785
7582	247405
7634	1232690
7781	198907
7784	2411120
7875	2694073
7921	484238
7976	1784846
7981	1847631
8041	885541
8044	1331135
8048	1794132
8058	2353817
8071	842835,2434552
8135	1902804
8141	2751123
8251	735994
8263	22007,559672,2068736
8294	798405,2629824,36090
8315	2084980
8316	360684,1023397,774313,1295792,64543,33817,2660593,2096756,1261661
8342	829254,238626
8351	506028
8382	2222728,1755429
8402	23303,2571945,738213
8406	1831749
8471	2256663
8472	168558,197680,399006,229964,1128751,174133,1883013,858449
8498	1590756,1198204,866133,595303,1508005,1505815
8508	836026,1310776
8608	516103
8708	575209
8723	825334
8768	2280850
8806	1176124
8808	2376419
8811	415434
9012	1350464
9028	1588461
9126	1571702
9142	2537698
9177	482816
9185	827943,2412714,355302,912553,2494857,2183464,912553,1115942,751756,735545,1245729,1341722,1596837,2266588,2350243,2750191,1619659,74119,694901,912553,654265,127914,1971691,1087343,2259679,2186445
9206	669949
9239	1477953
9321	2217421,1742926
9353	467223
9376	2180544
9479	441044,1774874,2324705,163706,441044,1638385,984561,1005512,1581026,2768609,2778445,569622,948562
9567	635242
9605	864358
9643	33842,1078303
9660	312257,1870656
9663	471561
9666	471207,1196558
9680	402371
9686	1986537
9698	2315304
9771	908561,2762003,1792105,2266393,681892
9780	1563726
9797	160236
9927	993640
9932	2561742
9962	2699294
9975	1491378
10015	1846793
10017	314669
10043	2470778
10044	2328627,696373
10053	481442
10171	379972
10224	434392
10238	1706653
10271	1848648,732298,1392726,1957419,1711670,2069875,732298,2673239,1388492,907736
10274	57227
10288	462301
10316	1859671
10333	1669539
10349	1580615
10444	1975082
10464	2226505,1454175
10469	2778610,1960150
10470	598326,2386312,1948184,1030001,791323
10495	1296033
10522	2456941,2207858,710659,2402629,2391900,2776593,2280268,1127358,212469,1411347,2541338,61636,584504,1593560,1776208,534091,1323147,2064793,443739,1906114,781827,782382,2580250,1702798,1745270,552122,2599177,781827,1248588,2410297,2635038,1524536,988330,443739,1470669,1385186,2247518,649371,134520,319897,235609,1561618
10600	1412169,2299710
10647	163420
10662	2230072,2336701,526501
10719	569891
10723	517579
10746	2778525
10747	1417963
10784	1635131
10799	2299323
10815	1948318
10827	2753736
10870	1192389
10920	1240312,2618936
10949	1105742
10956	2143157,2637671,2084609
10994	225594
10996	1809477
11008	79531
11020	248441
11027	1188648,312991,2441566
11052	816057
11064	2207220
11208	233416
11325	51667
11380	2242152
11382	1167494
11383	2305449
11412	659662
11422	549210,786834,1731904,1970068,837220,2774553
11423	164349
11436	62608,2223826,1709622
11554	2527315
11586	343760,2782394,1899184
11588	341687
11616	2408470,911728
11634	530744,2537638,1569797,1182082
11749	1577023
11756	715266
11805	1312983,285698,2569518,1362635,1025827,585883
11834	1082350
11867	2780545,85131,1795249
11907	1715967
11943	793008,2334855,2773777,1219852,28574,2408071,1701928,792477,730482,1959897,2414119,1701928,2349178,2408071,793008,543296,193305,2724857,1344884,2724857,1209110,792477,2665822,1370521,1209110,2020057,1097242
11988	83949
12027	1312762,1334568,964435
12030	1509333
12043	536047
12046	2075225,614664,1512627,1567401,2532675,2081129,1292814,1052925,2037889
12058	2206225
12097	2453758
12157	1487760
12170	1442051
12209	1339242
12233	2068996
12350	1729618
12361	2387778
12400	1598871,2538562,1995406,2242558,2468884,1995406,1728166,486698,502072,873490,1438241
12413	1638672
12437	2189305
12444	1987608
12546	405536,554436,1964124,2823465,2141236,550940,1343693,1767504
12554	243570,2358052,958956
12559	1719232,2398652
12588	2217792,1430819
12593	1728166
12602	1548157
12626	1697471,2570491,2570491,243000,2364482,1084528,1539546
12630	1739317,2257144,577848,169774,2709223,276109,1384135
12671	2322122
12689	2342453,442356,488649,1408591,2303552
12695	738202
12696	848327
12710	1807641
12735	2770491
12736	697908
12741	2278109
12750	2844906,2617395,2596732,998286,986527,233420,2211794,537686,998286,2012816,1956889,268747,2491223,1697012,1622409,2106311
12773	548147
12807	2133986
12845	784737
12852	1649745,812451,61038,752443,1414222,1086830,1340847,550947,1943372,1697503,812451
12864	1593632
12869	1637622,959823,1591646,1339045,1517667,2531890,269744,1754395,2238425,2562309
12888	275604
12889	2305466
12924	1188210,1141586,2014120,1294529
12960	2199247
13025	652329
13026	2457090
13084	2131962
13121	1396394
13128	130238
13138	2221326,1549178
13153	2537766
13167	1214052
13195	1560006
13250	2650738
13252	2457137
13292	1386703
13312	378597
13424	2009071
13477	2175889
13531	1061067
13539	794133
13566	989781
13606	1855791
13613	842520,503106,2585288,1897450,2085974
13636	1045433
13649	1742866,1147584,306444,973839,2374843,518965,2374843,2426593,1061753,2452601,1989821,109925,606312
13676	2515291,1130831
13712	1347483
13723	2541584
13748	2791339
13760	2209519
13775	1136310,116630
13795	1050430
13805	1394828
13837	38648
13864	1346733
13917	891563
13926	1837576
13934	2071776,1024003
13973	2393853,1782539
13979	1692949
14079	1786219
14085	1865831
14153	2768467
14161	2269623
14172	2638696
14189	1894855
14219	2538440,410414
14230	2194837
14269	1180975,2746527,1777617,2771019
14313	352178,568191,1641586,2514565,1377877,75389,1043393,1047625,1214203
14364	1852494,1477892,1056667
14377	2319851
14419	673755,1604958,766755,2753769,2504114,2377552
14421	1489714
14445	1113384
14462	1195796
14499	2268722
14500	1873590
14523	684753,592991,18872
14559	1039478
14576	736982
14597	1049266
14598	787003
14621	814080,1167070
14624	824274,1244196,1227036
14673	181926
14703	731353
14725	551046
14762	573301
14775	1943263
14792	1662827
14802	1126892
14824	2496270
14875	1424614
14891	2124567
14966	1639636,2538689
15000	2620406,1440996
15006	430533,1532572,895477
15043	1214242
15100	986219,1665936
15132	484995,1544109,1132098,872780
15147	83452
15162	2255659,2471986,2471986,2692082,2354562
15224	1068475
15251	1900591
15324	131307
15368	2068013
15406	1299900
15407	2512414
15549	728744
15560	1918308
15579	2768937
15596	1645759
15611	2171562,609004,2323783,678123,2525866,2843597
15636	2498489
15699	2282891
15761	1792817
15762	2128959
15804	1053452
15828	1256385
15849	862268,2327087
15924	1201171
15938	2503912
16056	2203579,2584859,81551,1517653,1747407,987368,2308882,2711836,1337533,1747407,71903,297118,2167980,2337997,2308882,1970862,1517653
16059	578442
16083	875358
16130	1386585
16195	2561368,562428,1819622,1988245,1806747,411749,1451607,1603895,2788275,1810580,1263184
16244	596540,1174528,2156362
16272	1474679,1671118,142543,613085,2482136,1099517,2730838,1124547,1186495,527943,1935985,1718417,470426,1009848,869001
16319	2268541
16357	1117449
16361	1864789,103736
16378	853494
16427	2005849,708762,1153861,1805101,1734527,1105799,1805101,2045773,156088,2601433,752445
16525	2826772
16546	1743837
16575	562074,1584071,623341,1775761
16594	1794217,9740,2577823,703873,1390003,2589412
16596	1871630
16648	704330
16670	1952304
16741	2479432
16753	1261439
